final_relation_key,pred_label,entity1_display_name,entity1_canonical_text,entity1_type,entity1_merge_id,entity1_pubchem_cid,entity1_pubchem_inchikey,entity2_display_name,entity2_canonical_text,entity2_type,entity2_merge_id,entity2_pubchem_cid,entity2_pubchem_inchikey,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title,unique_pmid_count
INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N||ChemicalEntity --> TEXT:DiseaseOrPhenotypicFeature:mn||DiseaseOrPhenotypicFeature,INDIRECT-UPREGULATOR,atrazine,atrazine,ChemicalEntity,INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N,2256,MXWJVTOOROXGIU-UHFFFAOYSA-N,MN,MN,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:mn,,,Positive effect,1,10.710629,10.711,30195392,1,True,False,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa).",1
TEXT:ChemicalEntity:neonicotinoid||ChemicalEntity -- TEXT:GeneOrGeneProduct:p450||GeneOrGeneProduct,Association,neonicotinoid,neonicotinoid,ChemicalEntity,TEXT:ChemicalEntity:neonicotinoid,,,P450,P450,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:p450,,,General association,1,10.288398,10.288,38879340,1,True,False,microRNA-3037 targeting CYP6CY2 confers imidacloprid resistance to Sitobion miscanthi (Takahashi).,1
INCHIKEY:LNJNFVJKDJYTEU-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:beta-tubulin||GeneOrGeneProduct,Association,diethofencarb,diethofencarb,ChemicalEntity,INCHIKEY:LNJNFVJKDJYTEU-UHFFFAOYSA-N,91742,LNJNFVJKDJYTEU-UHFFFAOYSA-N,beta-tubulin,beta-tubulin,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:beta-tubulin,,,General association,3,10.217988,9.759,8082187,3,True,False,Amino-acid alterations in the beta-tubulin gene of Neurospora crassa that confer resistance to carbendazim and diethofencarb.,1
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:paraoxonase||GeneOrGeneProduct,Association,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,Paraoxonase,Paraoxonase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:paraoxonase,,,General association,2,10.199168,9.25,24979751,2,True,False,Paraoxonase enzyme protects retinal pigment epithelium from chlorpyrifos insult.,1
INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N||ChemicalEntity -- TEXT:DiseaseOrPhenotypicFeature:cancer||DiseaseOrPhenotypicFeature,Association,atrazine,atrazine,ChemicalEntity,INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N,2256,MXWJVTOOROXGIU-UHFFFAOYSA-N,cancer,cancer,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:cancer,,,General association,1,10.16694,10.167,27046698,1,True,False,"Embryonic atrazine exposure alters zebrafish and human miRNAs associated with angiogenesis, cancer, and neurodevelopment.",1
INCHIKEY:PSOVNZZNOMJUBI-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:prsod1||GeneOrGeneProduct,Association,chlorantraniliprole,chlorantraniliprole,ChemicalEntity,INCHIKEY:PSOVNZZNOMJUBI-UHFFFAOYSA-N,11271640,PSOVNZZNOMJUBI-UHFFFAOYSA-N,PrSOD1,PrSOD1,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:prsod1,,,General association,1,10.164623,10.165,33838718,1,True,False,Characterisation of a copper/zinc superoxide dismutase from Pieris rapae and its role in protecting against oxidative stress induced by chlorantraniliprole.,1
INCHIKEY:RLLPVAHGXHCWKJ-MJGOQNOKSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:ugt1a9||GeneOrGeneProduct,Association,transpermethrin,transpermethrin,ChemicalEntity,INCHIKEY:RLLPVAHGXHCWKJ-MJGOQNOKSA-N,43859,RLLPVAHGXHCWKJ-MJGOQNOKSA-N,UGT1A9,UGT1A9,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:ugt1a9,,,General association,1,10.15209,10.152,21456540,1,True,False,"In vitro metabolism of trans-permethrin and its major metabolites, PBalc and PBacid, in humans.",1
INCHIKEY:OMFRMAHOUUJSGP-IRHGGOMRSA-N||ChemicalEntity -- INCHIKEY:SPVZAYWHHVLPBN-HYXAFXHYSA-N||ChemicalEntity,Association,bifenthrin,bifenthrin,ChemicalEntity,INCHIKEY:OMFRMAHOUUJSGP-IRHGGOMRSA-N,6442842,OMFRMAHOUUJSGP-IRHGGOMRSA-N,"3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylic acid","3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylic acid",ChemicalEntity,INCHIKEY:SPVZAYWHHVLPBN-HYXAFXHYSA-N,6440522,SPVZAYWHHVLPBN-HYXAFXHYSA-N,General association,2,10.151629,8.464,24851577,2,True,False,Assessment of occupational exposure to malathion and bifenthrin in mosquito control sprayers through dermal contact.,1
INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N||ChemicalEntity -- TEXT:DiseaseOrPhenotypicFeature:mitochondrial dysfunction||DiseaseOrPhenotypicFeature,Association,imidacloprid,imidacloprid,ChemicalEntity,INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N,86287518,YWTYJOPNNQFBPC-UHFFFAOYSA-N,mitochondrial dysfunction,mitochondrial dysfunction,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:mitochondrial dysfunction,,,General association,2,10.141237,9.483,39128528 | 39356435,2,True,False,Imidacloprid affects human cells through mitochondrial dysfunction and oxidative stress.,2
INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N||ChemicalEntity -- TEXT:DiseaseOrPhenotypicFeature:neurotoxicity||DiseaseOrPhenotypicFeature,Association,imidacloprid,imidacloprid,ChemicalEntity,INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N,86287518,YWTYJOPNNQFBPC-UHFFFAOYSA-N,neurotoxicity,neurotoxicity,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:neurotoxicity,,,General association,1,10.141237,10.141,39128528,1,True,False,Imidacloprid affects human cells through mitochondrial dysfunction and oxidative stress.,1
