relation_pair_key,pred_label,entity1_canonical_text,entity1_type,entity2_canonical_text,entity2_type,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,unique_pmid_count,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title
"(1,3-dioxo-4,5,6,7-tetrahydroisoindol-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate||ChemicalEntity --> permethrin||ChemicalEntity",Negative_Correlation,"(1,3-dioxo-4,5,6,7-tetrahydroisoindol-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",ChemicalEntity,permethrin,ChemicalEntity,Negative effect,1,8.480276,8.48,16362291,1,1,True,False,Comparison of different mass spectrometric detection techniques in the gas chromatographic analysis of pyrethroid insecticide residues in soil after microwave-assisted extraction.
"(1-methylpyridin-1-ium-3-yl) N,N-dimethylcarbamate||ChemicalEntity --> organophosphate||ChemicalEntity",Positive_Correlation,"(1-methylpyridin-1-ium-3-yl) N,N-dimethylcarbamate",ChemicalEntity,organophosphate,ChemicalEntity,Positive effect,1,5.270489,5.27,224645,1,1,True,False,Effect of toxogonin and P2S on the toxicity of carbamates and organophosphorus compounds.
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione||ChemicalEntity -- acetamiprid||ChemicalEntity",Association,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",ChemicalEntity,acetamiprid,ChemicalEntity,General association,1,6.5313816,6.531,28980111,1,0,True,False,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione||ChemicalEntity -- chlorpyrifos||ChemicalEntity",Association,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",ChemicalEntity,chlorpyrifos,ChemicalEntity,General association,1,5.4856453,5.486,38347791,1,1,True,False,Neuroprotective Effects of Curcumin against Chronic Chlorpyrifos- Induced Oxidative Damage in Rat Brain Tissue.
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione||ChemicalEntity --> acetamiprid||ChemicalEntity",Negative_Correlation,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",ChemicalEntity,acetamiprid,ChemicalEntity,Negative effect,3,8.386216,7.108,28980111,1,3,True,False,"Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes."
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione||ChemicalEntity --> cypermethrin||ChemicalEntity",Negative_Correlation,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",ChemicalEntity,cypermethrin,ChemicalEntity,Negative effect,1,7.0505,7.05,36283184,1,1,True,False,Poly lactide-co-glycolide encapsulated nano-curcumin promoting antagonistic interactions between HSP 90 and XRCC1 proteins to prevent cypermethrin-induced toxicity: An in silico predicted in vitro and in vivo approach.
"(1R)-N-prop-2-enyl-2,3-dihydro-1H-inden-1-amine||ChemicalEntity -- carbaril||ChemicalEntity",Association,carbaril,ChemicalEntity,"(1R)-N-prop-2-enyl-2,3-dihydro-1H-inden-1-amine",ChemicalEntity,General association,1,7.7719765,7.772,11952338,1,1,True,False,Rabbit serum albumin hydrolyzes the carbamate carbaryl.
"(1R,2R)-4-hydroxy-1-(1H-indole-5-carbonylamino)-2,3-dihydro-1H-indene-2-carboxylic acid||ChemicalEntity -- cyfluthrin||ChemicalEntity",Association,cyfluthrin,ChemicalEntity,"(1R,2R)-4-hydroxy-1-(1H-indole-5-carbonylamino)-2,3-dihydro-1H-indene-2-carboxylic acid",ChemicalEntity,General association,1,6.5174894,6.517,21309234,1,1,True,False,Comparative toxicity and repellency of microencapsulated and other liquid insecticide formulations to the German cockroach (Dictyoptera: Blattellidae).
"(1R,2R)-4-hydroxy-1-(1H-indole-5-carbonylamino)-2,3-dihydro-1H-indene-2-carboxylic acid||ChemicalEntity -- permethrin||ChemicalEntity",Association,"(1R,2R)-4-hydroxy-1-(1H-indole-5-carbonylamino)-2,3-dihydro-1H-indene-2-carboxylic acid",ChemicalEntity,permethrin,ChemicalEntity,General association,1,9.486191,9.486,21309234,1,1,True,False,Comparative toxicity and repellency of microencapsulated and other liquid insecticide formulations to the German cockroach (Dictyoptera: Blattellidae).
"(1R,2R,3S,4R,6R,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene||ChemicalEntity --> mirex||ChemicalEntity",Positive_Correlation,"(1R,2R,3S,4R,6R,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene",ChemicalEntity,mirex,ChemicalEntity,Positive effect,1,5.5232716,5.523,24254543,1,1,True,False,"Organochlorine residues in adult mallard and black duck wings, 1981-1982."
"(1R,2R,4R)-1,2,7,7-tetramethylbicyclo[2.2.1]heptan-2-ol||ChemicalEntity --> benomyl||ChemicalEntity",Negative_Correlation,"(1R,2R,4R)-1,2,7,7-tetramethylbicyclo[2.2.1]heptan-2-ol",ChemicalEntity,benomyl,ChemicalEntity,Negative effect,1,6.1442804,6.144,16271733,1,1,True,False,Algicidal and antifungal compounds from the roots of Ruta graveolens and synthesis of their analogs.
"(1R,2R,4S)-2-(6-chloro-3-pyridinyl)-7-azabicyclo[2.2.1]heptane||ChemicalEntity -- imidacloprid||ChemicalEntity",Association,"(1R,2R,4S)-2-(6-chloro-3-pyridinyl)-7-azabicyclo[2.2.1]heptane",ChemicalEntity,imidacloprid,ChemicalEntity,General association,1,6.4455175,6.446,9504393,1,1,True,False,Effects of the alpha subunit on imidacloprid sensitivity of recombinant nicotinic acetylcholine receptors.
"(1R,2S,3R,5S,6S,7R,8S)-1,5,6,8,9,10,11,11-octachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene||ChemicalEntity -- chlordane||ChemicalEntity",Association,chlordane,ChemicalEntity,"(1R,2S,3R,5S,6S,7R,8S)-1,5,6,8,9,10,11,11-octachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene",ChemicalEntity,General association,4,9.575796,7.484,11383340 | 3694709 | 6668611,4,4,True,False,Direct suppression of cultured spleen cell responses by chlordane and the basis for differential effects on in vivo and in vitro immunocompetence.
"(1R,2S,8R,9S)-1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide||ChemicalEntity -- benzoepin||ChemicalEntity",Association,"(1R,2S,8R,9S)-1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide",ChemicalEntity,benzoepin,ChemicalEntity,General association,1,7.660244,7.66,20303092,1,1,True,False,Development of a simple extraction and clean-up procedure for determination of organochlorine pesticides in soil using gas chromatography-tandem mass spectrometry.
