pmid,type1,type2,id1,entity1_text,entity1_type,pred_label,id2,entity2_text,entity2_type,pred_score,same_sentence,sentence_window,entity1_is_pesticide,entity2_is_pesticide,relation_group,confidence_band,evidence_level,has_pesticide_flag_from_pipeline,entity1_canonical_text,entity1_validation_status,entity1_is_validated_chemical,entity1_is_validated_pesticide,entity1_remove_candidate,entity1_pesticide_dict_id,entity1_pesticide_name,entity1_pesticide_inchikey,entity1_pesticide_activity,entity1_pesticide_primary_activities,entity1_pesticide_compound_groups,entity1_pubchem_status,entity1_pubchem_cid,entity1_pubchem_iupac_name,entity1_pubchem_inchikey,entity1_pubchem_formula,entity2_canonical_text,entity2_validation_status,entity2_is_validated_chemical,entity2_is_validated_pesticide,entity2_remove_candidate,entity2_pesticide_dict_id,entity2_pesticide_name,entity2_pesticide_inchikey,entity2_pesticide_activity,entity2_pesticide_primary_activities,entity2_pesticide_compound_groups,entity2_pubchem_status,entity2_pubchem_cid,entity2_pubchem_iupac_name,entity2_pubchem_inchikey,entity2_pubchem_formula,has_validated_pesticide,has_validated_chemical,has_unvalidated_chemical,canonical_entity_pair,canonical_entity_type_pair
29990300,ChemicalEntity,OrganismTaxon,ChemicalEntity:29990300:14,terbuthylazine,ChemicalEntity,Positive_Correlation,OrganismTaxon:29990300:15,rats,OrganismTaxon,6.220536,True,0,True,False,Positive effect,Moderate,Moderate textual evidence,True,terbuthylazine,pesticide_dictionary_exact_match,True,True,False,TWPEST_01706,terbuthylazine,FZXISNSWEXTPMF-UHFFFAOYSA-N,herbicides (chlorotriazine),{'herbicides'},{'chlorotriazine'},not_checked,,,,,rats,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,True,True,False,terbuthylazine -- rats,ChemicalEntity -- OrganismTaxon
29990300,ChemicalEntity,ChemicalEntity,ChemicalEntity:29990300:7,atrazine,ChemicalEntity,Association,ChemicalEntity:29990300:9,lipid,ChemicalEntity,9.567887,True,0,True,False,General association,Very high,Strong textual evidence,True,atrazine,pesticide_dictionary_exact_match,True,True,False,TWPEST_00159,atrazine,MXWJVTOOROXGIU-UHFFFAOYSA-N,herbicides (chlorotriazine),{'herbicides'},{'chlorotriazine'},not_checked,,,,,lipid,chemical_stop_term,False,False,True,,,,,,,not_checked,,,,,True,True,True,atrazine -- lipid,ChemicalEntity -- ChemicalEntity
29990300,ChemicalEntity,OrganismTaxon,ChemicalEntity:29990300:13,atrazine,ChemicalEntity,Association,OrganismTaxon:29990300:12,rats,OrganismTaxon,5.704497,True,0,True,False,General association,Moderate,Moderate textual evidence,True,atrazine,pesticide_dictionary_exact_match,True,True,False,TWPEST_00159,atrazine,MXWJVTOOROXGIU-UHFFFAOYSA-N,herbicides (chlorotriazine),{'herbicides'},{'chlorotriazine'},not_checked,,,,,rats,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,True,True,False,atrazine -- rats,ChemicalEntity -- OrganismTaxon
29990732,ChemicalEntity,ChemicalEntity,ChemicalEntity:29990732:18,Rhodamine B,ChemicalEntity,Negative_Correlation,ChemicalEntity:29990732:19,Roundup®,ChemicalEntity,6.4995275,True,0,False,False,Negative effect,Moderate,Moderate textual evidence,False,[9-(2-carboxyphenyl)-6-(diethylamino)xanthen-3-ylidene]-diethylazanium chloride,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,6694,[9-(2-carboxyphenyl)-6-(diethylamino)xanthen-3-ylidene]-diethylazanium chloride,PYWVYCXTNDRMGF-UHFFFAOYSA-N,C28H31ClN2O3,2-(phosphonomethylamino)acetic acid;propan-2-amine,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,38078,2-(phosphonomethylamino)acetic acid;propan-2-amine,ZEKANFGSDXODPD-UHFFFAOYSA-N,C6H17N2O5P,False,True,False,[9-(2-carboxyphenyl)-6-(diethylamino)xanthen-3-ylidene]-diethylazanium chloride -- 2-(phosphonomethylamino)acetic acid;propan-2-amine,ChemicalEntity -- ChemicalEntity
29990732,ChemicalEntity,OrganismTaxon,ChemicalEntity:29990732:6,Glyphosate,ChemicalEntity,Association,OrganismTaxon:29990732:7,rice,OrganismTaxon,6.475801,True,0,True,False,General association,Moderate,Moderate textual evidence,True,glyphosate,pesticide_dictionary_exact_match,True,True,False,TWPEST_01013,glyphosate,XDDAORKBJWWYJS-UHFFFAOYSA-N,herbicides (glycine derivative),{'herbicides'},{'glycine derivative'},not_checked,,,,,rice,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,True,True,False,glyphosate -- rice,ChemicalEntity -- OrganismTaxon
29990732,ChemicalEntity,DiseaseOrPhenotypicFeature,ChemicalEntity:29990732:16,Roundup®,ChemicalEntity,Positive_Correlation,DiseaseOrPhenotypicFeature:29990732:17,necrotic,DiseaseOrPhenotypicFeature,9.501868,True,0,False,False,Positive effect,Very high,Strong textual evidence,False,2-(phosphonomethylamino)acetic acid;propan-2-amine,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,38078,2-(phosphonomethylamino)acetic acid;propan-2-amine,ZEKANFGSDXODPD-UHFFFAOYSA-N,C6H17N2O5P,necrotic,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,True,False,2-(phosphonomethylamino)acetic acid;propan-2-amine -- necrotic,ChemicalEntity -- DiseaseOrPhenotypicFeature
29990732,ChemicalEntity,GeneOrGeneProduct,ChemicalEntity:29990732:18,Rhodamine B,ChemicalEntity,Association,GeneOrGeneProduct:29990732:20,ABC pumps,GeneOrGeneProduct,9.245993,True,0,False,False,General association,Very high,Strong textual evidence,False,[9-(2-carboxyphenyl)-6-(diethylamino)xanthen-3-ylidene]-diethylazanium chloride,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,6694,[9-(2-carboxyphenyl)-6-(diethylamino)xanthen-3-ylidene]-diethylazanium chloride,PYWVYCXTNDRMGF-UHFFFAOYSA-N,C28H31ClN2O3,ABC pumps,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,True,False,[9-(2-carboxyphenyl)-6-(diethylamino)xanthen-3-ylidene]-diethylazanium chloride -- ABC pumps,ChemicalEntity -- GeneOrGeneProduct
30021322,ChemicalEntity,OrganismTaxon,ChemicalEntity:30021322:18,thiamethoxam,ChemicalEntity,Positive_Correlation,OrganismTaxon:30021322:1,Honeybees,OrganismTaxon,5.5587797,True,0,True,False,Positive effect,Moderate,Moderate textual evidence,True,thiamethoxam,pesticide_dictionary_exact_match,True,True,False,TWPEST_01722,thiamethoxam,NWWZPOKUUAIXIW-UHFFFAOYSA-N,insecticides (nitroguanidine),{'insecticides'},{'nitroguanidine'},not_checked,,,,,Honeybees,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,True,True,False,thiamethoxam -- Honeybees,ChemicalEntity -- OrganismTaxon
30024824,ChemicalEntity,ChemicalEntity,ChemicalEntity:30024824:18,Zumba Plant,ChemicalEntity,Negative_Correlation,ChemicalEntity:30024824:19,boscalid,ChemicalEntity,8.999004,True,0,False,True,Negative effect,High,Strong textual evidence,True,Zumba Plant,unvalidated_chemical_name,False,False,True,,,,,,,no_pubchem_match,,,,,boscalid,pesticide_dictionary_exact_match,True,True,False,TWPEST_00267,boscalid,WYEMLYFITZORAB-UHFFFAOYSA-N,fungicides (pyridinecarboxamide),{'fungicides'},{'pyridinecarboxamide'},not_checked,,,,,True,True,True,Zumba Plant -- boscalid,ChemicalEntity -- ChemicalEntity
30024824,ChemicalEntity,OrganismTaxon,ChemicalEntity:30024824:12,Zumba Plant,ChemicalEntity,Negative_Correlation,OrganismTaxon:30024824:10,apples,OrganismTaxon,6.7419057,True,0,False,False,Negative effect,Moderate,Moderate textual evidence,False,Zumba Plant,unvalidated_chemical_name,False,False,True,,,,,,,no_pubchem_match,,,,,apples,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,False,True,Zumba Plant -- apples,ChemicalEntity -- OrganismTaxon
30024824,ChemicalEntity,OrganismTaxon,ChemicalEntity:30024824:12,Zumba Plant,ChemicalEntity,Negative_Correlation,OrganismTaxon:30024824:15,Glomus,OrganismTaxon,5.398586,True,0,False,False,Negative effect,Moderate,Moderate textual evidence,False,Zumba Plant,unvalidated_chemical_name,False,False,True,,,,,,,no_pubchem_match,,,,,Glomus,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,False,True,Zumba Plant -- Glomus,ChemicalEntity -- OrganismTaxon
30024824,ChemicalEntity,OrganismTaxon,ChemicalEntity:30024824:12,Zumba Plant,ChemicalEntity,Negative_Correlation,OrganismTaxon:30024824:14,Trichoderma,OrganismTaxon,4.3050756,True,0,False,False,Negative effect,Low,Weak textual evidence,False,Zumba Plant,unvalidated_chemical_name,False,False,True,,,,,,,no_pubchem_match,,,,,Trichoderma,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,False,True,Zumba Plant -- Trichoderma,ChemicalEntity -- OrganismTaxon
30024824,ChemicalEntity,ChemicalEntity,ChemicalEntity:30024824:18,Zumba Plant,ChemicalEntity,Negative_Correlation,ChemicalEntity:30024824:20,pyraclostrobin,ChemicalEntity,8.959571,True,0,False,True,Negative effect,High,Strong textual evidence,True,Zumba Plant,unvalidated_chemical_name,False,False,True,,,,,,,no_pubchem_match,,,,,pyraclostrobin,pesticide_dictionary_exact_match,True,True,False,TWPEST_01540,pyraclostrobin,HZRSNVGNWUDEFX-UHFFFAOYSA-N,fungicides (methoxycarbamate),{'fungicides'},{'methoxycarbamate'},not_checked,,,,,True,True,True,Zumba Plant -- pyraclostrobin,ChemicalEntity -- ChemicalEntity
30024824,ChemicalEntity,ChemicalEntity,ChemicalEntity:30024824:6,pyraclostrobin,ChemicalEntity,Comparison,ChemicalEntity:30024824:7,methyl N-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]phenyl]-N-methoxycarbamate,ChemicalEntity,2.3694278000000003e-38,True,0,True,False,Comparison,Very low,Weak textual evidence,True,pyraclostrobin,pesticide_dictionary_exact_match,True,True,False,TWPEST_01540,pyraclostrobin,HZRSNVGNWUDEFX-UHFFFAOYSA-N,fungicides (methoxycarbamate),{'fungicides'},{'methoxycarbamate'},not_checked,,,,,methyl N-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]phenyl]-N-methoxycarbamate,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,6422843,methyl N-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]phenyl]-N-methoxycarbamate,HZRSNVGNWUDEFX-UHFFFAOYSA-N,C19H18ClN3O4,True,True,False,pyraclostrobin -- methyl N-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]phenyl]-N-methoxycarbamate,ChemicalEntity -- ChemicalEntity
30024824,ChemicalEntity,OrganismTaxon,ChemicalEntity:30024824:11,Bellis 38 WG,ChemicalEntity,Negative_Correlation,OrganismTaxon:30024824:10,apples,OrganismTaxon,7.4029264,True,0,False,False,Negative effect,High,Strong textual evidence,False,Bellis 38 WG,unvalidated_chemical_name,False,False,True,,,,,,,no_pubchem_match,,,,,apples,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,False,True,Bellis 38 WG -- apples,ChemicalEntity -- OrganismTaxon
30032372,ChemicalEntity,ChemicalEntity,ChemicalEntity:30032372:2,Ag,ChemicalEntity,Association,ChemicalEntity:30032372:3,ZnO,ChemicalEntity,7.404006,True,0,False,False,General association,High,Strong textual evidence,False,silver,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,23954,silver,BQCADISMDOOEFD-UHFFFAOYSA-N,Ag,oxozinc,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,14806,oxozinc,XLOMVQKBTHCTTD-UHFFFAOYSA-N,OZn,False,True,False,silver -- oxozinc,ChemicalEntity -- ChemicalEntity
30032372,ChemicalEntity,ChemicalEntity,ChemicalEntity:30032372:1,imidacloprid,ChemicalEntity,Association,ChemicalEntity:30032372:2,Ag,ChemicalEntity,9.092147,True,0,True,False,General association,Very high,Strong textual evidence,True,imidacloprid,pesticide_dictionary_exact_match,True,True,False,TWPEST_01066,imidacloprid,"YWTYJOPNNQFBPC-DLSJENCCNA-N, Standard InChIKey (no stereo):, YWTYJOPNNQFBPC-UHFFFAOYSA-N",insecticides (nitroguanidine),{'insecticides'},{'nitroguanidine'},not_checked,,,,,silver,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,23954,silver,BQCADISMDOOEFD-UHFFFAOYSA-N,Ag,True,True,False,imidacloprid -- silver,ChemicalEntity -- ChemicalEntity
30032372,ChemicalEntity,ChemicalEntity,ChemicalEntity:30032372:4,Ag,ChemicalEntity,Association,ChemicalEntity:30032372:6,imidacloprid,ChemicalEntity,4.7501082,True,0,False,True,General association,Low,Weak textual evidence,True,silver,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,23954,silver,BQCADISMDOOEFD-UHFFFAOYSA-N,Ag,imidacloprid,pesticide_dictionary_exact_match,True,True,False,TWPEST_01066,imidacloprid,"YWTYJOPNNQFBPC-DLSJENCCNA-N, Standard InChIKey (no stereo):, YWTYJOPNNQFBPC-UHFFFAOYSA-N",insecticides (nitroguanidine),{'insecticides'},{'nitroguanidine'},not_checked,,,,,True,True,False,silver -- imidacloprid,ChemicalEntity -- ChemicalEntity
30032372,ChemicalEntity,ChemicalEntity,ChemicalEntity:30032372:4,Ag,ChemicalEntity,Bind,ChemicalEntity:30032372:5,ZnO,ChemicalEntity,3.4904478,True,0,False,False,Binding / interaction,Low,Weak textual evidence,False,silver,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,23954,silver,BQCADISMDOOEFD-UHFFFAOYSA-N,Ag,oxozinc,pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,14806,oxozinc,XLOMVQKBTHCTTD-UHFFFAOYSA-N,OZn,False,True,False,silver -- oxozinc,ChemicalEntity -- ChemicalEntity
30125205,ChemicalEntity,ChemicalEntity,ChemicalEntity:30125205:20,V8 medium,ChemicalEntity,Association,ChemicalEntity:30125205:21,azoxystrobin,ChemicalEntity,5.1317954,True,0,False,True,General association,Moderate,Moderate textual evidence,True,V8 medium,unvalidated_chemical_name,False,False,True,,,,,,,no_pubchem_match,,,,,azoxystrobin,pesticide_dictionary_exact_match,True,True,False,TWPEST_00176,azoxystrobin,WFDXOXNFNRHQEC-GHRIWEEISA-N,fungicides (methoxyacrylate),{'fungicides'},{'methoxyacrylate'},not_checked,,,,,True,True,True,V8 medium -- azoxystrobin,ChemicalEntity -- ChemicalEntity
30125205,DiseaseOrPhenotypicFeature,OrganismTaxon,DiseaseOrPhenotypicFeature:30125205:3,Phytophthora Blight,DiseaseOrPhenotypicFeature,Positive_Correlation,OrganismTaxon:30125205:2,Phytophthora capsici,OrganismTaxon,8.753258,True,0,False,False,Positive effect,High,Strong textual evidence,False,Phytophthora Blight,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,Phytophthora capsici,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,False,False,Phytophthora Blight -- Phytophthora capsici,DiseaseOrPhenotypicFeature -- OrganismTaxon
30125205,ChemicalEntity,OrganismTaxon,ChemicalEntity:30125205:10,azoxystrobin,ChemicalEntity,Negative_Correlation,OrganismTaxon:30125205:9,P. capsici,OrganismTaxon,6.9142814,True,0,True,False,Negative effect,Moderate,Moderate textual evidence,True,azoxystrobin,pesticide_dictionary_exact_match,True,True,False,TWPEST_00176,azoxystrobin,WFDXOXNFNRHQEC-GHRIWEEISA-N,fungicides (methoxyacrylate),{'fungicides'},{'methoxyacrylate'},not_checked,,,,,P. capsici,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,True,True,False,azoxystrobin -- P. capsici,ChemicalEntity -- OrganismTaxon
30125205,ChemicalEntity,OrganismTaxon,ChemicalEntity:30125205:22,salicylhydroxamic acid,ChemicalEntity,Negative_Correlation,OrganismTaxon:30125205:19,P. capsici,OrganismTaxon,9.111089,True,0,False,False,Negative effect,Very high,Strong textual evidence,False,"N,2-dihydroxybenzamide",pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,66644,"N,2-dihydroxybenzamide",HBROZNQEVUILML-UHFFFAOYSA-N,C7H7NO3,P. capsici,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,True,False,"N,2-dihydroxybenzamide -- P. capsici",ChemicalEntity -- OrganismTaxon
30125205,ChemicalEntity,DiseaseOrPhenotypicFeature,ChemicalEntity:30125205:1,QoI,ChemicalEntity,Association,DiseaseOrPhenotypicFeature:30125205:3,Phytophthora Blight,DiseaseOrPhenotypicFeature,7.719539,True,0,False,False,General association,High,Strong textual evidence,False,"1,3,8-trihydroxyanthracene-9,10-dione",pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,12435249,"1,3,8-trihydroxyanthracene-9,10-dione",VVEKCQAFOLKNKB-UHFFFAOYSA-N,C14H8O5,Phytophthora Blight,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,True,False,"1,3,8-trihydroxyanthracene-9,10-dione -- Phytophthora Blight",ChemicalEntity -- DiseaseOrPhenotypicFeature
30125205,ChemicalEntity,OrganismTaxon,ChemicalEntity:30125205:5,quinone,ChemicalEntity,Bind,OrganismTaxon:30125205:19,P. capsici,OrganismTaxon,4.3050000000000005e-42,True,0,False,False,Binding / interaction,Very low,Weak textual evidence,False,"cyclohexa-2,5-diene-1,4-dione",pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,4650,"cyclohexa-2,5-diene-1,4-dione",AZQWKYJCGOJGHM-UHFFFAOYSA-N,C6H4O2,P. capsici,not_chemical_entity,False,False,False,,,,,,,not_checked,,,,,False,True,False,"cyclohexa-2,5-diene-1,4-dione -- P. capsici",ChemicalEntity -- OrganismTaxon
30125205,ChemicalEntity,ChemicalEntity,ChemicalEntity:30125205:6,QoI,ChemicalEntity,SUBSTRATE,ChemicalEntity:30125205:29,QoI,ChemicalEntity,4.3050000000000005e-42,True,0,False,False,Chemical transformation,Very low,Weak textual evidence,False,"1,3,8-trihydroxyanthracene-9,10-dione",pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,12435249,"1,3,8-trihydroxyanthracene-9,10-dione",VVEKCQAFOLKNKB-UHFFFAOYSA-N,C14H8O5,"1,3,8-trihydroxyanthracene-9,10-dione",pubchem_match_non_dictionary_chemical,True,False,False,,,,,,,pubchem_match,12435249,"1,3,8-trihydroxyanthracene-9,10-dione",VVEKCQAFOLKNKB-UHFFFAOYSA-N,C14H8O5,False,True,False,"1,3,8-trihydroxyanthracene-9,10-dione -- 1,3,8-trihydroxyanthracene-9,10-dione",ChemicalEntity -- ChemicalEntity
