ID	name	synonyms
TWPEST_00001	(3-ethoxypropyl)mercury bromide	
TWPEST_00002	(S)-afoxolaner	
TWPEST_00003	1,2-dichloropropane	
TWPEST_00004	1,3-D	1,3-D;1,3-dichloropropene;1,3-dichloropropene
TWPEST_00005	2,3,6-TBA	2,3,6-TBA;TCBA
TWPEST_00006	2,4,5-T	
TWPEST_00007	2,4,5-TB	
TWPEST_00008	2,4-D	
TWPEST_00009	2,4-DB	
TWPEST_00010	2,4-DEB	
TWPEST_00011	2,4-DES	2,4-DES;disul;sesone
TWPEST_00012	2,5-dichlorobenzoic acid	
TWPEST_00013	2-(octylthio)ethanol	
TWPEST_00014	24-epibrassinolide	
TWPEST_00015	3,4-DA	
TWPEST_00016	3,4-DB	
TWPEST_00017	3,4-DP	
TWPEST_00018	3-chloro-4-methylaniline	3-chloro-4-methylaniline;starlicide
TWPEST_00019	4-CPA	
TWPEST_00020	4-CPB	
TWPEST_00021	4-CPP	
TWPEST_00022	4-aminopyridine	
TWPEST_00023	4-hydroxyphenethyl alcohol	
TWPEST_00024	8-hydroxyquinoline sulfate	
TWPEST_00025	8-phenylmercurioxyquinoline	
TWPEST_00026	BPCMS	
TWPEST_00027	BPMC	
TWPEST_00028	BPPS	
TWPEST_00029	Bordeaux mixture	
TWPEST_00030	Burgundy mixture	
TWPEST_00031	CDEC	
TWPEST_00032	CEPC	
TWPEST_00033	CMMP	pentanochlor;solan
TWPEST_00034	CPMC	
TWPEST_00035	CPMF	
TWPEST_00036	CVMP	stirofos;tetrachlorvinphos
TWPEST_00037	Cheshunt mixture	
TWPEST_00038	DA-6	
TWPEST_00039	DBCP	
TWPEST_00040	DCPTA	
TWPEST_00041	DCU	
TWPEST_00042	DDPP	
TWPEST_00043	DDVP	
TWPEST_00044	DEET	
TWPEST_00045	DFDT	fluoro-DDT;fluorogesarol
TWPEST_00046	DNOC	
TWPEST_00047	DSMA	
TWPEST_00048	EBAAP	
TWPEST_00049	EBEP	
TWPEST_00050	EDDP	
TWPEST_00051	EMPC	
TWPEST_00052	EPTC	
TWPEST_00053	IPSP	
TWPEST_00054	IPX	
TWPEST_00055	IR3535	
TWPEST_00056	Jinganmycin A	validamycin;validamycin A
TWPEST_00057	MCPA	2,4-MCPA;2,4-MCPA;2M-4C;metaxon
TWPEST_00058	MCPA-thioethyl	
TWPEST_00059	MCPB	2,4-MCPB;2,4-MCPB;2M-4CM
TWPEST_00060	MCPP	
TWPEST_00061	MGK-264	
TWPEST_00062	MNAF	
TWPEST_00063	MPMC	
TWPEST_00064	N-(ethylmercury)-p-toluenesulfonanilide	
TWPEST_00065	NAAm	
TWPEST_00066	OCH	
TWPEST_00067	PDJ	
TWPEST_00068	S-bioallethrin	S-bioallethrin;esdepallethrine
TWPEST_00069	S-metolachlor	
TWPEST_00070	TBTO	
TWPEST_00071	TCNB	
TWPEST_00072	TIBA	2,3,5-tri-iodobenzoic acid;2,3,5-triiodobenzoic acid;2,3,5-triiodobenzoic acid
TWPEST_00073	a-chlorohydrin	
TWPEST_00074	a-ecdysone	
TWPEST_00075	a-multistriatin	
TWPEST_00076	abamectin	
TWPEST_00077	abamectin-aminomethyl	
TWPEST_00078	acaricidal	
TWPEST_00079	acaricide	
TWPEST_00080	acephate	
TWPEST_00081	acequinocyl	
TWPEST_00082	acetamiprid	
TWPEST_00083	acethion	
TWPEST_00084	acetochlor	
TWPEST_00085	acetofenate	penfenate;plifenate
TWPEST_00086	acetophos	
TWPEST_00087	acetoprole	
TWPEST_00088	acibenzolar	
TWPEST_00089	acifluorfen	
TWPEST_00090	aclonifen	
TWPEST_00091	acrep	
TWPEST_00092	acrinathrin	
TWPEST_00093	acynonapyr	
